"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"EI",87,"DSM","ORD","2024-08-01","07:15","US",7489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,list("None"),298.04
"AA",97,"MCI","ORD","2024-08-01","07:25","US",824,"00:55:00","2024-08-01T06:43:00-05:00",NA,"00:49:00","2024-08-01T06:37:00-05:00","2024-08-01T06:51:00-05:00","00:51:00","2024-08-01T08:16:00-05:00",NA,"00:44:00","2024-08-01T08:09:00-05:00","2024-08-01T08:00:00-05:00","3","K20",0,list("None"),402.04
"AS",145,"PHL","ORD","2024-08-01","07:24","US",6087,"00:00:00","2024-08-01T05:59:00-04:00",NA,"-00:01:00","2024-08-01T05:58:00-04:00","2024-08-01T06:15:00-04:00","-00:19:00","2024-08-01T07:05:00-05:00",NA,"-00:10:00","2024-08-01T07:14:00-05:00","2024-08-01T06:52:00-05:00","3","K8",0,list("None"),676.25
"AA",145,"PHL","ORD","2024-08-01","07:24","US",1652,"00:00:00","2024-08-01T05:59:00-04:00",NA,"-00:01:00","2024-08-01T05:58:00-04:00","2024-08-01T06:15:00-04:00","-00:19:00","2024-08-01T07:05:00-05:00",NA,"-00:10:00","2024-08-01T07:14:00-05:00","2024-08-01T06:52:00-05:00","3","K8",0,list("None"),676.25
"9X",100,"BRL","ORD","2024-08-01","07:40","US",442,NA,NA,NA,NA,NA,"2024-08-01T06:23:00-05:00",NA,NA,NA,NA,NA,"2024-08-01T07:47:00-05:00",NA,NA,0,list("None"),186.24
"BA",130,"ATL","ORD","2024-08-01","07:10","US",1674,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:06:00","2024-08-01T05:54:00-04:00","2024-08-01T06:15:00-04:00","-00:16:00","2024-08-01T06:54:00-05:00",NA,"-00:17:00","2024-08-01T06:53:00-05:00","2024-08-01T06:44:00-05:00","3","H17",0,list("None"),606.66
"BA",171,"AUS","ORD","2024-08-01","08:51","US",1690,"00:00:00","2024-08-01T06:00:00-05:00",NA,"00:03:00","2024-08-01T06:03:00-05:00","2024-08-01T06:20:00-05:00","00:22:00","2024-08-01T09:13:00-05:00",NA,"00:22:00","2024-08-01T09:13:00-05:00","2024-08-01T08:57:00-05:00","3","K16",0,list("None"),978.4
"BA",160,"LGA","ORD","2024-08-01","07:40","US",4829,"02:00:00","2024-08-01T08:00:00-04:00",NA,"01:56:00","2024-08-01T07:56:00-04:00","2024-08-01T08:14:00-04:00","01:36:00","2024-08-01T09:16:00-05:00",NA,"01:30:00","2024-08-01T09:10:00-05:00","2024-08-01T09:02:00-05:00","3","H11A",0,list("None"),731.39
"AS",69,"MLI","ORD","2024-08-01","07:09","US",6021,"00:00:00","2024-08-01T06:00:00-05:00",NA,"-00:07:00","2024-08-01T05:53:00-05:00","2024-08-01T06:05:00-05:00","-00:15:00","2024-08-01T06:54:00-05:00","2024-08-01T06:40:00-05:00","-00:11:00","2024-08-01T06:58:00-05:00","2024-08-01T06:43:00-05:00","3","H1A",0,list("None"),139.14
"BA",254,"SFO","ORD","2024-08-01","12:14","US",5769,"00:00:00","2024-08-01T06:00:00-07:00",NA,"-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:07:00-07:00","-00:18:00","2024-08-01T11:56:00-05:00",NA,"-00:16:00","2024-08-01T11:58:00-05:00","2024-08-01T11:45:00-05:00","3","K20",0,list("None"),1842.58
