"Airport","Terminal","Date","Hour","US_Average_Wait_Time","U.S. Citizen Max_Wait_Time","Non_US_Average_Wait_Times","Non U.S. Citizen Max_Wait_Time","Wait Times Average_Wait_Time","Wait Times Max_Wait_Time","Number Of Passengers Time Interval 0-15","Number Of Passengers Time Interval 16-30","Number Of Passengers Time Interval 31-45","Number Of Passengers Time Interval 46-60","Number Of Passengers Time Interval 61-90","Number Of Passengers Time Interval 91-120","Number Of Passengers Time Interval 120_plus"," Excluded"," Total"," Flights"
"ORD","Terminal 5","8/1/2024","0000 - 0100","20","37","21","38","21","38","103","223","61","0","0","0","0","9","396","2"
"ORD","Terminal 5","8/1/2024","0100 - 0200","16","31","18","35","17","35","234","291","24","0","0","0","0","15","564","3"
"ORD","Terminal 5","8/1/2024","0200 - 0300","14","28","13","28","13","28","123","98","0","0","0","0","0","7","228","1"
"ORD","Terminal 5","8/1/2024","0400 - 0500","13","28","16","27","15","28","84","87","0","0","0","0","0","6","177","1"
"ORD","Terminal 5","8/1/2024","0600 - 0700","34","67","39","67","37","67","131","88","166","206","75","0","0","20","686","3"
"ORD","Terminal 5","8/1/2024","0700 - 0800","19","45","25","46","21","46","88","107","59","2","0","0","0","7","263","1"
"ORD","Terminal 5","8/1/2024","0800 - 0900","34","64","40","64","37","64","68","123","269","185","33","0","0","17","695","2"
"ORD","Terminal 5","8/1/2024","0900 - 1000","14","32","17","34","16","34","301","387","8","0","0","0","0","18","714","3"
"ORD","Terminal 5","8/1/2024","1000 - 1100","15","35","18","35","17","35","256","267","47","0","0","0","0","15","585","2"
"ORD","Terminal 5","8/1/2024","1100 - 1200","13","57","21","57","17","57","351","133","89","40","0","0","0","20","633","3"
"ORD","Terminal 5","8/1/2024","1200 - 1300","19","66","24","67","21","67","372","396","159","37","17","0","0","41","1022","5"
"ORD","Terminal 5","8/1/2024","1300 - 1400","40","124","58","124","47","124","381","432","451","538","623","177","18","89","2709","10"
"ORD","Terminal 5","8/1/2024","1400 - 1500","48","154","92","154","66","154","271","201","205","499","577","619","153","81","2606","10"
"ORD","Terminal 5","8/1/2024","1500 - 1600","45","117","81","121","60","121","189","133","143","473","374","374","2","50","1738","7"
"ORD","Terminal 5","8/1/2024","1600 - 1700","30","81","53","89","37","89","191","140","401","236","130","0","0","42","1140","7"
"ORD","Terminal 5","8/1/2024","1700 - 1800","20","57","18","46","20","57","637","856","291","26","0","0","0","51","1861","9"
"ORD","Terminal 5","8/1/2024","1800 - 1900","18","55","20","61","19","61","699","685","248","72","3","0","0","58","1765","8"
"ORD","Terminal 5","8/1/2024","1900 - 2000","23","75","35","81","27","81","534","358","490","166","77","0","0","46","1671","8"
"ORD","Terminal 5","8/1/2024","2000 - 2100","32","77","51","83","39","83","118","108","141","159","129","0","0","25","680","3"
"ORD","Terminal 5","8/1/2024","2100 - 2200","17","44","22","43","19","44","207","371","33","0","0","0","0","17","628","3"
"ORD","Terminal 5","8/1/2024","2300 - 0000","35","58","37","58","36","58","0","49","64","28","0","0","0","4","145","1"
"ORD","Terminal 5","8/2/2024","0000 - 0100","38","69","40","69","39","69","10","87","176","69","39","0","0","10","391","2"
"ORD","Terminal 5","8/2/2024","0100 - 0200","58","80","60","80","59","80","0","9","12","85","121","0","0","6","233","1"
"ORD","Terminal 5","8/2/2024","0500 - 0600","74","106","77","107","76","107","0","38","35","20","128","147","0","10","378","2"
"ORD","Terminal 5","8/2/2024","0600 - 0700","37","77","59","80","52","80","39","12","10","97","140","0","0","11","309","1"
"ORD","Terminal 5","8/2/2024","0700 - 0800","60","103","70","104","64","104","15","19","53","172","428","47","0","24","758","3"
"ORD","Terminal 5","8/2/2024","0800 - 0900","36","97","48","101","44","101","41","65","213","156","74","13","0","18","580","2"
"ORD","Terminal 5","8/2/2024","0900 - 1000","65","95","64","95","65","95","22","5","51","101","332","21","0","15","547","2"
"ORD","Terminal 5","8/2/2024","1000 - 1100","46","87","60","89","53","89","42","21","97","153","224","0","0","16","553","2"
"ORD","Terminal 5","8/2/2024","1100 - 1200","28","74","41","74","34","74","186","216","82","206","117","0","0","25","832","4"
"ORD","Terminal 5","8/2/2024","1200 - 1300","9","33","12","36","10","36","557","226","21","0","0","0","0","21","825","4"
"ORD","Terminal 5","8/2/2024","1300 - 1400","21","48","19","47","21","48","689","1259","436","16","0","0","0","73","2473","9"
"ORD","Terminal 5","8/2/2024","1400 - 1500","20","53","22","53","20","53","612","909","367","23","0","0","0","54","1965","7"
"ORD","Terminal 5","8/2/2024","1500 - 1600","32","78","32","78","32","78","672","806","808","668","213","0","0","97","3264","13"
"ORD","Terminal 5","8/2/2024","1600 - 1700","35","75","31","74","33","75","253","435","621","338","77","0","0","45","1769","9"
"ORD","Terminal 5","8/2/2024","1700 - 1800","18","54","17","55","17","55","1113","701","274","79","0","0","0","59","2226","9"
"ORD","Terminal 5","8/2/2024","1800 - 1900","18","45","16","43","18","45","662","575","272","0","0","0","0","40","1549","9"
"ORD","Terminal 5","8/2/2024","1900 - 2000","16","75","21","90","17","90","608","432","106","36","17","0","0","36","1235","7"
"ORD","Terminal 5","8/2/2024","2000 - 2100","37","94","50","103","42","103","200","189","262","298","211","45","0","46","1251","5"
"ORD","Terminal 5","8/2/2024","2100 - 2200","33","72","56","72","43","72","29","58","73","71","85","0","0","4","320","1"
"ORD","Terminal 5","8/2/2024","2300 - 0000","44","77","45","76","44","77","0","37","67","87","27","0","0","7","225","1"
"ORD","Terminal 5","8/3/2024","0000 - 0100","38","109","58","109","47","109","77","133","118","110","188","26","0","21","673","4"
"ORD","Terminal 5","8/3/2024","0100 - 0200","78","94","75","94","77","94","0","5","9","0","136","23","0","6","179","1"
"ORD","Terminal 5","8/3/2024","0200 - 0300","48","67","52","67","50","67","24","0","7","117","53","0","0","10","211","1"
"ORD","Terminal 5","8/3/2024","0500 - 0600","74","92","75","97","74","97","4","11","2","3","93","22","0","4","139","1"
"ORD","Terminal 5","8/3/2024","0600 - 0700","60","97","75","100","67","100","38","25","65","5","467","51","0","19","670","3"
"ORD","Terminal 5","8/3/2024","0700 - 0800","65","115","75","115","69","115","36","56","29","46","320","143","0","17","647","2"
"ORD","Terminal 5","8/3/2024","0800 - 0900","52","99","76","100","68","100","30","12","5","0","90","61","0","5","203","1"
"ORD","Terminal 5","8/3/2024","0900 - 1000","79","141","87","141","83","141","67","45","55","126","260","398","174","37","1162","4"
"ORD","Terminal 5","8/3/2024","1000 - 1100","56","117","89","114","70","117","110","45","7","3","128","282","0","16","591","2"
"ORD","Terminal 5","8/3/2024","1100 - 1200","42","80","41","80","42","80","32","90","136","0","120","0","0","7","385","2"
"ORD","Terminal 5","8/3/2024","1200 - 1300","14","47","18","47","16","47","724","370","145","9","0","0","0","40","1288","5"
"ORD","Terminal 5","8/3/2024","1300 - 1400","16","36","19","36","17","36","731","935","139","0","0","0","0","56","1861","7"
"ORD","Terminal 5","8/3/2024","1400 - 1500","22","85","31","89","25","89","622","714","391","116","116","0","0","65","2024","8"
"ORD","Terminal 5","8/3/2024","1500 - 1600","29","81","39","80","33","81","395","670","840","534","100","0","0","88","2627","10"
"ORD","Terminal 5","8/3/2024","1600 - 1700","23","51","24","48","23","51","459","1141","517","46","0","0","0","67","2230","11"
"ORD","Terminal 5","8/3/2024","1700 - 1800","12","37","15","39","13","39","1749","864","63","0","0","0","0","86","2762","12"
"ORD","Terminal 5","8/3/2024","1800 - 1900","13","35","11","32","13","35","1085","768","22","0","0","0","0","49","1924","12"
"ORD","Terminal 5","8/3/2024","1900 - 2000","14","42","15","41","14","42","1067","765","55","0","0","0","0","72","1959","11"
"ORD","Terminal 5","8/3/2024","2000 - 2100","7","16","9","17","7","17","344","12","0","0","0","0","0","12","368","2"
"ORD","Terminal 5","8/3/2024","2100 - 2200","16","42","20","42","17","42","479","291","176","0","0","0","0","31","977","4"
"ORD","Terminal 5","8/3/2024","2200 - 2300","5","14","5","13","5","14","255","0","0","0","0","0","0","6","261","1"
"ORD","Terminal 5","8/3/2024","2300 - 0000","15","30","19","30","16","30","77","104","0","0","0","0","0","4","185","1"
"ORD","Terminal 5","8/4/2024","0000 - 0100","19","51","22","50","20","51","175","274","87","9","0","0","0","22","567","3"
"ORD","Terminal 5","8/4/2024","0100 - 0200","10","21","11","21","11","21","125","50","0","0","0","0","0","6","181","1"
"ORD","Terminal 5","8/4/2024","0300 - 0400","8","18","8","18","8","18","105","10","0","0","0","0","0","6","121","1"
"ORD","Terminal 5","8/4/2024","0500 - 0600","31","56","32","56","31","56","54","99","144","67","0","0","0","11","375","2"
"ORD","Terminal 5","8/4/2024","0600 - 0700","52","94","59","94","55","94","59","80","182","306","403","31","0","34","1095","4"
"ORD","Terminal 5","8/4/2024","0700 - 0800","34","51","37","51","35","51","0","87","130","45","0","0","0","7","269","1"
